subject,relation,object,source_file
representation,use,array,lecture12_clean.txt
position,contain,root,lecture12_clean.txt
positions,use,placeholder,lecture12_clean.txt
traversal,visit,root,lecture12_clean.txt
It,traverse,subtree,lecture12_clean.txt
version,use,stack,lecture12_clean.txt
algorithm,explore,subtree,lecture12_clean.txt
It,visit,root,lecture12_clean.txt
traversal,produce,output,lecture12_clean.txt
traversal,process,subtree,lecture12_clean.txt
It,process,subtree,lecture12_clean.txt
versions,use,stacks,lecture12_clean.txt
It,use,queue,lecture12_clean.txt
Iterators,visit,elements,lecture12_clean.txt
They,support,initialization,lecture12_clean.txt
Preorder,visit,root,lecture12_clean.txt
Inorder,visit,root,lecture12_clean.txt
Preorder,identify,tree,lecture12_clean.txt
traversal,produce,values,lecture12_clean.txt
tree,store,pointer,lecture12_clean.txt
operation,place,value,lecture12_clean.txt
it,follow,pointers,lecture12_clean.txt
algorithm,track,node,lecture12_clean.txt
algorithm,perform,traversal,lecture12_clean.txt
tree,support,operations,lecture12_clean.txt
values,follow,less,lecture12_clean.txt
Removal,follow,cases,lecture12_clean.txt
Summary,present,trees,lecture12_clean.txt
lecture,present,trees,lecture12_clean.txt
